clause_number,materiality_factors,risk_indicators,evaluation_approach
041,"Individual contract conflicting with collective agreement; Missing union security clause; Grievance procedure absent; No seniority application; Strike/lockout rights unclear; Management rights overreach","Contract superseding collective agreement (illegal); No dues checkoff; Missing grievance steps; Seniority rights omitted; No strike/lockout provisions; Excessive management rights","Verify collective agreement supremacy, union security compliance, grievance procedure completeness, seniority provision fairness, and management rights reasonableness"
042,"Confidential designation without legitimate access to sensitive info; Overly broad information restrictions; Missing training on obligations; Post-employment restrictions excessive; No insider trading policy","Confidential status without justification; Restrictions beyond need-to-know; No confidential information training; Enhanced restrictions unwarranted; Missing trading compliance","Assess confidential designation legitimacy, information access justification, restriction necessity, enhanced obligation reasonableness, and insider trading policy adequacy"
043,"Commission structure unclear creating disputes; No quota setting transparency; Territory changes without notice; Commission during notice period excluded contrary to Lin case; Chargeback provisions excessive","Vague commission calculation; Arbitrary quota setting; Territory reassignment without compensation; Notice period commission excluded; Unreasonable chargebacks; No vacation pay on commission","Evaluate commission clarity, quota fairness, territory stability, notice period treatment per Lin and Paquette, chargeback reasonableness, and ESA vacation pay compliance"
044,"Layoff without contractual right (constructive dismissal per Elsegood); Missing benefit continuation during layoff; Recall period unclear; Deemed termination triggers absent; No SUB plan when applicable","Temporary layoff without contract authorization (Elsegood violation); Benefits terminated during layoff; No recall notice; Missing 13/35 week limits; Deemed termination unclear","Verify layoff authorization per Elsegood, ESA timing compliance (s.56), benefit continuation adequacy, recall procedure clarity, and deemed termination trigger specification"
045,"Contract changes without consideration (Hobbs violation); No notice of changes; Unilateral fundamental term changes; Missing grandfathering for existing employees; Policy changes altering employment terms","No consideration for post-employment changes; Immediate changes without notice; Fundamental terms altered unilaterally; New employees only benefit; Deemed acceptance provisions","Assess consideration adequacy per Hobbs, change notice sufficiency, fundamental term protection, grandfathering fairness, and mutual agreement requirement"
046,"Mandatory arbitration without ESA/human rights carve-outs (illegal); Excessive costs deterring employee access; No appeal rights; Arbitrator selection bias; Class action waiver inappropriate","Arbitration for ESA claims (illegal); Employee pays arbitration costs; No appeal allowed; Employer selects arbitrator; Class waiver for systemic issues; No interim relief","Verify ESA and human rights claim exclusion from arbitration, cost allocation fairness, appeal right preservation, arbitrator selection neutrality, and class action appropriateness"
047,"Missing oral representation exclusions creating parol evidence issues; No acknowledgment of understanding; Independent legal advice not referenced; Offer letter not superseded; Prior agreements survive","No integration of all terms; Oral promises enforceable; Missing acknowledgment of reading; No legal advice reference; Offer letter conflicts continue; Prior contract provisions survive","Assess integration completeness, oral representation exclusion, acknowledgment inclusion, independent legal advice reference, and supersession of prior agreements"
048,"No written waiver requirement creating enforcement issues; Single waiver constitutes ongoing waiver; Failure to enforce creates abandonment; Missing reservation of rights; Past practice creates binding terms","Oral waivers permitted; One-time waiver is permanent; Non-enforcement equals waiver; No rights reservation; Past practice becomes contractual; Promissory estoppel unrestricted","Evaluate waiver formality requirements, single vs. continuing waiver distinction, non-enforcement impact clarity, reservation of rights inclusion, and past practice limitations"
049,"Missing acceptable notice methods; Email validity unclear; No deemed receipt timing; Address for service absent; Emergency contact not required; Service requirements for legal proceedings unclear","No notice delivery methods specified; Email notification invalid; Receipt timing ambiguous; No service address; Missing emergency contacts; Legal service provisions absent; Language not specified","Assess notice method specification, email validity confirmation, deemed receipt clarity, service address provision, emergency contact requirement, and legal service adequacy"
050,"Missing Ontario law application creating jurisdiction uncertainty; ESA not confirmed applicable; Forum selection absent; Mandatory law override unclear; Cross-border work without choice of law","No governing law specified; ESA application unclear for Ontario employees; No forum selection; Mandatory law (ESA) not confirmed applicable; Cross-border jurisdiction ambiguous; Conflict of law unresolved","Verify Ontario law application, ESA territorial scope confirmation, forum selection inclusion, mandatory law preservation, and cross-border jurisdiction clarity"
